timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20210213T140011.6,W,S,11,20,0,PG,249765.70,249770.70,19,13,1,ae786812cad54f68aa98431607335574
20210213T140024.6,W,S,13,19,0,PG,249778.66,249783.66,19,13,1,ae786812cad54f68aa98431607335574
20210213T140031.4,W,S,11,20,0,PG,249785.45,249790.45,19,13,1,ae786812cad54f68aa98431607335574
20210213T140031.6,W,S,11,22,0,PG,249785.68,249790.68,19,13,1,ae786812cad54f68aa98431607335574
20210213T140051.8,W,S,11,9,0,PG,249805.74,249810.74,19,13,1,ae786812cad54f68aa98431607335574
20210213T140111.5,W,S,11,20,0,PG,249825.32,249830.32,19,13,1,ae786812cad54f68aa98431607335574
20210213T140152.7,W,S,11,13,0,PG,249866.37,249871.37,19,13,1,ae786812cad54f68aa98431607335574
20210213T140218.2,W,S,12,7,0,PG,249891.71,249896.71,19,13,1,ae786812cad54f68aa98431607335574
20210213T140227.1,W,S,11,16,0,PG,249900.58,249905.58,19,13,1,ae786812cad54f68aa98431607335574
20210213T140303.6,W,S,15,10,0,PG,249936.91,249941.91,19,13,1,ae786812cad54f68aa98431607335574
20210213T140315.5,W,S,12,23,0,PG,249948.74,249953.74,19,13,1,ae786812cad54f68aa98431607335574
20210213T140321.1,W,S,11,24,0,PG,249954.33,249959.33,19,13,1,ae786812cad54f68aa98431607335574
20210213T140354.0,W,S,11,25,0,PG,249987.15,249992.15,19,13,1,ae786812cad54f68aa98431607335574
20210213T140453.1,W,S,11,15,0,PG,250045.91,250050.91,19,13,1,ae786812cad54f68aa98431607335574
20210213T140549.6,W,S,11,28,0,PG,250102.08,250107.08,19,13,1,ae786812cad54f68aa98431607335574
20210213T140635.2,W,S,11,18,0,PG,250147.52,250152.52,19,13,1,ae786812cad54f68aa98431607335574
20210213T140642.5,W,R,11,15,0,PG,250154.71,250159.71,19,13,1,ae786812cad54f68aa98431607335574
20210213T140646.3,W,S,11,14,0,PG,250158.54,250163.54,19,13,1,ae786812cad54f68aa98431607335574
20210213T140738.3,W,S,11,0,0,PG,250210.25,250215.25,19,13,1,ae786812cad54f68aa98431607335574
20210213T140800.5,W,R,12,1,0,PG,250232.37,250237.37,19,13,1,ae786812cad54f68aa98431607335574
20210213T140819.2,W,S,11,16,0,PG,250251.03,250256.03,19,13,1,ae786812cad54f68aa98431607335574
20210213T140835.8,W,S,11,19,0,PG,250267.57,250272.57,19,13,1,ae786812cad54f68aa98431607335574
20210213T140848.9,W,S,15,22,0,PG,250280.54,250285.54,19,13,1,ae786812cad54f68aa98431607335574
20210213T140905.9,W,S,11,20,0,PG,250297.43,250302.43,19,13,1,ae786812cad54f68aa98431607335574
20210213T140949.0,W,S,11,20,0,PG,250340.37,250345.37,19,13,1,ae786812cad54f68aa98431607335574
20210213T140951.8,W,S,11,21,0,PG,250343.20,250348.20,19,13,1,ae786812cad54f68aa98431607335574
20210213T141001.4,W,S,11,24,0,PG,250352.70,250357.70,19,13,1,ae786812cad54f68aa98431607335574
20210213T141010.4,W,S,12,20,0,PG,250361.71,250366.71,19,13,1,ae786812cad54f68aa98431607335574
20210213T141027.2,W,S,11,17,0,PG,250378.41,250383.41,19,13,1,ae786812cad54f68aa98431607335574
20210213T141035.1,W,S,11,21,0,PG,250386.31,250391.31,19,13,1,ae786812cad54f68aa98431607335574
20210213T141117.9,W,S,13,20,0,PG,250428.83,250433.83,19,13,1,ae786812cad54f68aa98431607335574
20210213T141121.3,W,S,11,18,0,PG,250432.21,250437.21,19,13,1,ae786812cad54f68aa98431607335574
20210213T141119.3,W,S,11,17,0,PG,250430.28,250435.28,19,13,1,ae786812cad54f68aa98431607335574
